job_id,session_id,signal_scope,current_step,current_episode,current_vehicles,best_reward,latest_reward,average_wait_time,congestion_score,stopped_vehicles,checkpoint_path,model_output_dir,created_at_utc
training:bb3a78c518f94d6ba0b8eecbeb528fa4,session:2914ad483ec74ca9a9135d87d1cef9d3,osm_only,0,0,300,,,0.0,0.0,0,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4,2026-06-27T23:45:14.274888+00:00
training:bb3a78c518f94d6ba0b8eecbeb528fa4,session:2914ad483ec74ca9a9135d87d1cef9d3,osm_only,1,0,300,1928.5483451409773,1928.5483451409773,0.02,0.017,5,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4,2026-06-27T23:45:31.766852+00:00
training:bb3a78c518f94d6ba0b8eecbeb528fa4,session:2914ad483ec74ca9a9135d87d1cef9d3,osm_only,10,0,300,1928.5483451409773,1520.880016706131,0.18,0.177,53,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4,2026-06-27T23:46:12.592703+00:00
training:bb3a78c518f94d6ba0b8eecbeb528fa4,session:2914ad483ec74ca9a9135d87d1cef9d3,osm_only,20,0,300,1928.5483451409773,1198.9285206708053,0.33,0.33,99,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4,2026-06-27T23:47:16.453942+00:00
training:bb3a78c518f94d6ba0b8eecbeb528fa4,session:2914ad483ec74ca9a9135d87d1cef9d3,osm_only,30,0,300,1928.5483451409773,950.8919974882724,0.4,0.403,121,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4,2026-06-27T23:48:13.610278+00:00
training:bb3a78c518f94d6ba0b8eecbeb528fa4,session:2914ad483ec74ca9a9135d87d1cef9d3,osm_only,40,0,300,1928.5483451409773,694.4376904780876,0.5,0.503,151,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_osm_only/runs/training_bb3a78c518f94d6ba0b8eecbeb528fa4,2026-06-27T23:49:08.632833+00:00
