job_id,session_id,signal_scope,current_step,current_episode,current_vehicles,best_reward,latest_reward,average_wait_time,congestion_score,stopped_vehicles,checkpoint_path,model_output_dir,created_at_utc
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,110,0,60,1582.55078607504,1367.7659222912584,0.42,0.417,25,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:35:34.506538+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,120,0,60,1582.55078607504,1365.636914918053,0.45,0.45,27,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:35:50.510238+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,130,0,60,1582.55078607504,1383.2360299145816,0.5,0.5,30,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:36:13.066131+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,140,0,60,1582.55078607504,1409.3611354820928,0.55,0.55,33,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:36:27.978243+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,150,0,60,1582.55078607504,1343.7033126759286,0.56,0.556,30,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:36:52.386971+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,160,0,60,1582.55078607504,1333.2436471646868,0.63,0.633,38,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:37:08.342815+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,170,0,60,1582.55078607504,1357.541862697877,0.57,0.574,35,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:37:34.365009+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,180,0,60,1582.55078607504,1386.9867609233702,0.49,0.493,33,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:37:50.451503+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,190,0,60,1582.55078607504,1301.6278519020445,0.56,0.556,35,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:38:15.545567+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,200,0,60,1582.55078607504,1341.4301457096155,0.51,0.515,35,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:38:31.821570+00:00
